epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9439.36,1.10638,0.92818,1.23633,0.74687,0.64811,0.6961,0.47649,1.08639,0.88812,1.20104,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9752.13,1.09939,0.92185,1.23213,0.74026,0.67531,0.70434,0.47834,1.08057,0.87969,1.1905,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10066.5,1.08392,0.90474,1.221,0.80133,0.65704,0.71907,0.49659,1.05858,0.85576,1.19235,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10383.9,1.08347,0.89969,1.22012,0.75083,0.67191,0.71643,0.48544,1.07257,0.86212,1.1976,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10700.9,1.07714,0.88826,1.21517,0.76209,0.66157,0.71589,0.49933,1.04503,0.84957,1.17281,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11020.7,1.06347,0.87305,1.20304,0.79957,0.66256,0.72205,0.5026,1.05469,0.84918,1.1758,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11333.3,1.06615,0.86926,1.20503,0.77845,0.66601,0.73169,0.50836,1.0384,0.84364,1.18045,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11647.3,1.05859,0.86616,1.20012,0.80393,0.68233,0.72648,0.5061,1.04716,0.83249,1.17766,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11957.8,1.05174,0.84936,1.19453,0.78609,0.67556,0.72132,0.4919,1.06145,0.85044,1.18202,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12262,1.04945,0.85062,1.19446,0.80793,0.68065,0.72759,0.50778,1.05587,0.82863,1.17836,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12571,1.03546,0.82525,1.18737,0.82306,0.68791,0.74506,0.51459,1.03189,0.81235,1.16851,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12882.6,1.03717,0.83711,1.18785,0.79889,0.70083,0.7462,0.52106,1.022,0.81159,1.16478,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13194.7,1.0244,0.82892,1.18032,0.8219,0.67221,0.73229,0.51038,1.04072,0.80881,1.17182,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13505.2,1.02462,0.81632,1.18062,0.79723,0.6988,0.74552,0.51715,1.03874,0.80543,1.18013,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13815.8,1.02037,0.81644,1.17594,0.79933,0.70046,0.73559,0.51927,1.03008,0.79684,1.16964,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14127,1.02192,0.80798,1.17706,0.79498,0.70704,0.74461,0.52123,1.02399,0.79676,1.16013,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14437.1,1.0079,0.80753,1.17484,0.82872,0.68066,0.73988,0.51958,1.02033,0.80681,1.16809,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14749.4,1.00265,0.79745,1.16834,0.81011,0.68922,0.73512,0.51319,1.02856,0.80895,1.17257,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15060.3,1.00016,0.79249,1.1663,0.82743,0.67898,0.74674,0.52329,1.0145,0.80467,1.15635,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15326.7,0.99773,0.78356,1.16204,0.80429,0.69343,0.74871,0.53049,1.01669,0.79116,1.16087,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15631.2,0.985,0.772,1.1555,0.83074,0.67812,0.74152,0.52941,1.01374,0.79116,1.1528,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15942.4,0.9789,0.7719,1.15346,0.79248,0.69496,0.74189,0.52814,1.01139,0.79348,1.15137,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16252.7,0.97914,0.75715,1.14916,0.84202,0.6819,0.74816,0.52618,1.01405,0.78312,1.15864,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16562.9,0.9893,0.76262,1.15457,0.83641,0.6961,0.75476,0.52739,1.01449,0.79062,1.15422,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16867.6,0.96619,0.74711,1.14307,0.83929,0.68408,0.75359,0.52708,1.00653,0.7797,1.14768,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17180.1,0.96537,0.74612,1.14414,0.81653,0.70956,0.7572,0.53168,1.00587,0.77336,1.15095,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17492,0.9669,0.74512,1.14149,0.83786,0.68891,0.75852,0.53241,1.00984,0.77161,1.15418,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17804.3,0.96041,0.74159,1.13728,0.8413,0.69076,0.75095,0.53376,1.00551,0.77852,1.15758,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18118.4,0.96124,0.73617,1.13818,0.82475,0.70095,0.75608,0.53213,1.00303,0.76433,1.15647,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18430.7,0.95388,0.73169,1.1335,0.80501,0.70762,0.75284,0.53286,1.00182,0.76197,1.15635,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18743.2,0.94594,0.7201,1.13344,0.83989,0.70234,0.7591,0.5375,0.99484,0.75901,1.14709,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19057.6,0.9418,0.71744,1.12612,0.83061,0.71208,0.76119,0.54051,1.00359,0.75253,1.15179,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19373.8,0.94352,0.71531,1.12908,0.81416,0.72135,0.75926,0.53998,0.9974,0.75503,1.1485,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19690.3,0.93598,0.70858,1.12147,0.822,0.73176,0.765,0.54046,1.00589,0.7546,1.15714,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20002.6,0.9298,0.70567,1.12302,0.85639,0.7146,0.76877,0.54448,1.00664,0.75748,1.15511,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20315.5,0.91678,0.69021,1.11494,0.82791,0.7212,0.7668,0.54718,1.00028,0.75857,1.15154,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20630.3,0.92271,0.69329,1.11316,0.83077,0.72365,0.7625,0.54618,0.99588,0.75218,1.14605,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20944.6,0.90907,0.69185,1.1103,0.82658,0.71873,0.7681,0.54987,0.99692,0.74136,1.14949,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21256.8,0.91454,0.68883,1.10873,0.82088,0.71672,0.76626,0.55318,0.9948,0.74403,1.14215,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21570.3,0.90505,0.68024,1.10407,0.82405,0.70998,0.76619,0.55079,0.9982,0.73957,1.14449,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,21883.3,0.9087,0.67993,1.11224,0.82606,0.71544,0.77147,0.54733,1.0004,0.73839,1.15027,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22199.2,0.89887,0.6764,1.10481,0.83493,0.71917,0.77284,0.54734,0.99914,0.74026,1.1509,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,22513.3,0.89568,0.66542,1.10017,0.84962,0.71346,0.77263,0.55035,0.99449,0.73866,1.1496,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,22811.4,0.89706,0.66842,1.09988,0.83583,0.70294,0.76423,0.54553,0.99309,0.74094,1.14698,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23041.9,0.88373,0.65501,1.09501,0.82336,0.70642,0.76108,0.54577,0.99606,0.74185,1.1467,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23355.7,0.87684,0.64935,1.09067,0.83949,0.7016,0.7599,0.54216,0.99565,0.74082,1.14418,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23670.5,0.87681,0.64847,1.08997,0.82767,0.70885,0.76021,0.54328,1.00009,0.7426,1.1472,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,23982.5,0.87293,0.64405,1.08973,0.84163,0.69293,0.75953,0.54328,1.00184,0.7387,1.14892,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24295.1,0.87395,0.64239,1.08807,0.81966,0.70703,0.7592,0.54393,0.99684,0.73813,1.1447,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24608.9,0.87131,0.63805,1.08282,0.85455,0.69491,0.76385,0.54844,0.98906,0.73308,1.13795,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,24922.7,0.85946,0.6345,1.08111,0.84525,0.70511,0.76464,0.54862,0.98718,0.73275,1.14008,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25231,0.85701,0.62913,1.08027,0.84433,0.70301,0.76294,0.54976,0.98743,0.73564,1.13839,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25539.3,0.8553,0.6311,1.07857,0.83379,0.71124,0.76529,0.54811,0.98732,0.73579,1.1361,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,25849.9,0.85298,0.61703,1.07368,0.85012,0.70832,0.76857,0.54974,0.98731,0.73726,1.1373,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26159.1,0.85424,0.62833,1.07412,0.8509,0.70364,0.76829,0.54988,0.99118,0.73787,1.13935,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26344.7,0.83811,0.61428,1.07258,0.84408,0.70726,0.76963,0.54993,0.99325,0.73434,1.14179,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26580.6,0.83529,0.60839,1.06715,0.82751,0.72407,0.77017,0.54923,0.99292,0.73414,1.14234,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,26891.5,0.83175,0.60734,1.06482,0.8249,0.72072,0.77149,0.54984,0.99213,0.73603,1.14147,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,27201.1,0.82997,0.60199,1.06218,0.83719,0.71582,0.77319,0.55027,0.99333,0.73193,1.14432,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
