epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.532,1.4066,2.48912,1.40223,0.50633,0.40358,0.38538,0.2407,1.27904,2.46707,1.29437,0.000175173,0.000175173,0.000175173
2,822.088,1.37615,1.81738,1.39865,0.55926,0.46593,0.45132,0.26963,1.32933,1.88256,1.33584,0.000343567,0.000343567,0.000343567
3,1238.04,1.36048,1.61408,1.39404,0.63311,0.44,0.48783,0.30585,1.24389,1.55448,1.29264,0.000505017,0.000505017,0.000505017
4,1650.44,1.34964,1.48606,1.38873,0.5802,0.4928,0.51728,0.33604,1.20346,1.44329,1.27023,0.000494756,0.000494756,0.000494756
5,2076.34,1.31678,1.38263,1.36143,0.63352,0.52965,0.57264,0.37291,1.16144,1.27934,1.25187,0.000484341,0.000484341,0.000484341
6,2493.5,1.27626,1.30163,1.34136,0.68879,0.50282,0.55295,0.35979,1.19364,1.28015,1.26007,0.000473926,0.000473926,0.000473926
7,2904.7,1.26403,1.23386,1.327,0.57249,0.57102,0.58828,0.38437,1.14165,1.16193,1.23293,0.000463511,0.000463511,0.000463511
8,3305.43,1.24699,1.20139,1.31656,0.6833,0.54116,0.60995,0.40093,1.16532,1.08757,1.24047,0.000453096,0.000453096,0.000453096
9,3706.08,1.21098,1.12611,1.29388,0.67847,0.57413,0.59468,0.39583,1.13298,1.06564,1.22848,0.000442682,0.000442682,0.000442682
10,4146.34,1.20478,1.11416,1.29312,0.69223,0.60026,0.63591,0.4194,1.12332,1.04661,1.23128,0.000432267,0.000432267,0.000432267
11,4560.28,1.19122,1.08463,1.2806,0.62163,0.64094,0.63277,0.4194,1.10719,1.04162,1.20447,0.000421852,0.000421852,0.000421852
12,4974.36,1.17758,1.04665,1.26594,0.70702,0.57501,0.63968,0.42778,1.089,1.00304,1.19576,0.000411437,0.000411437,0.000411437
13,5385.9,1.15738,1.0278,1.25953,0.67571,0.60071,0.63868,0.42293,1.10553,0.98887,1.20921,0.000401022,0.000401022,0.000401022
14,5796.57,1.14848,1.01516,1.24924,0.69238,0.61493,0.66702,0.44743,1.07737,0.95096,1.19635,0.000390608,0.000390608,0.000390608
15,6212.24,1.14765,0.99632,1.25338,0.67084,0.64176,0.66045,0.44758,1.09399,0.94707,1.21403,0.000380193,0.000380193,0.000380193
16,6659.64,1.1189,0.96577,1.23749,0.74015,0.6199,0.666,0.44687,1.06228,0.93973,1.17749,0.000369778,0.000369778,0.000369778
17,7082.53,1.10485,0.94689,1.22461,0.72466,0.62961,0.67366,0.46181,1.04927,0.90654,1.16659,0.000359363,0.000359363,0.000359363
18,7490.11,1.09488,0.93227,1.22256,0.71178,0.63054,0.67262,0.45707,1.03596,0.89881,1.16613,0.000348948,0.000348948,0.000348948
19,7923,1.08838,0.91316,1.21375,0.70718,0.65356,0.67046,0.46172,1.03906,0.89329,1.16553,0.000338534,0.000338534,0.000338534
20,8328.27,1.07508,0.89704,1.20412,0.69143,0.66201,0.68779,0.47787,1.03728,0.88952,1.1582,0.000328119,0.000328119,0.000328119
21,8729.35,1.06912,0.88851,1.19912,0.71737,0.6645,0.69314,0.47881,1.01868,0.85984,1.15612,0.000317704,0.000317704,0.000317704
22,9129.07,1.05892,0.86209,1.19677,0.75062,0.66294,0.69949,0.47705,1.02497,0.86644,1.15736,0.000307289,0.000307289,0.000307289
23,9546.58,1.04307,0.8562,1.18611,0.74512,0.68229,0.70411,0.49016,1.00185,0.83473,1.14326,0.000296874,0.000296874,0.000296874
24,9968.94,1.03723,0.84428,1.18233,0.69799,0.69225,0.70813,0.4878,1.01017,0.85526,1.14693,0.00028646,0.00028646,0.00028646
25,10386.5,1.02848,0.83537,1.17849,0.73166,0.6484,0.70707,0.49254,0.99519,0.8323,1.14423,0.000276045,0.000276045,0.000276045
26,10798.6,1.02676,0.82166,1.17935,0.73777,0.68473,0.7154,0.49134,1.01359,0.83145,1.14622,0.00026563,0.00026563,0.00026563
27,11211.9,1.01588,0.8088,1.17013,0.74978,0.67683,0.70243,0.49248,0.99235,0.82223,1.13467,0.000255215,0.000255215,0.000255215
28,11622,1.00657,0.80461,1.16259,0.72948,0.67507,0.70609,0.49008,0.9938,0.83646,1.13538,0.0002448,0.0002448,0.0002448
29,12028.5,0.99865,0.79572,1.16147,0.7628,0.691,0.71448,0.50856,0.98188,0.80222,1.12999,0.000234386,0.000234386,0.000234386
30,12416.9,0.99589,0.78137,1.1568,0.79286,0.66997,0.72726,0.51091,0.99149,0.79924,1.1307,0.000223971,0.000223971,0.000223971
31,12806.6,0.98457,0.76196,1.14888,0.74108,0.68779,0.71701,0.49974,0.98823,0.81058,1.12772,0.000213556,0.000213556,0.000213556
32,13196.1,0.98289,0.76247,1.14877,0.76273,0.6882,0.7205,0.50495,0.99076,0.80231,1.13002,0.000203141,0.000203141,0.000203141
33,13589.1,0.97055,0.75556,1.14416,0.77837,0.67185,0.72497,0.50754,0.98416,0.77468,1.12846,0.000192726,0.000192726,0.000192726
34,13977.7,0.96012,0.74224,1.13628,0.78854,0.67054,0.72601,0.51789,0.97332,0.77881,1.12319,0.000182312,0.000182312,0.000182312
35,14364.8,0.95065,0.73415,1.13275,0.77222,0.70029,0.72933,0.51693,0.98944,0.78245,1.13171,0.000171897,0.000171897,0.000171897
36,14754.3,0.94673,0.72311,1.13019,0.74799,0.70731,0.7375,0.51844,0.98399,0.77976,1.12444,0.000161482,0.000161482,0.000161482
37,15144,0.93378,0.70906,1.1176,0.76126,0.7164,0.73827,0.51904,0.9735,0.77761,1.11909,0.000151067,0.000151067,0.000151067
38,15533.4,0.93354,0.70523,1.12023,0.75439,0.72241,0.74313,0.52564,0.96311,0.77259,1.11177,0.000140652,0.000140652,0.000140652
39,15922.8,0.92295,0.69847,1.11222,0.79266,0.7054,0.74313,0.52642,0.96794,0.76561,1.1172,0.000130238,0.000130238,0.000130238
40,16362.9,0.9156,0.68732,1.10778,0.78689,0.71065,0.74461,0.52713,0.97508,0.77032,1.12412,0.000119823,0.000119823,0.000119823
41,16748.2,0.8559,0.55604,1.06019,0.8006,0.71062,0.74309,0.52698,0.96688,0.77591,1.11702,0.000109408,0.000109408,0.000109408
42,17125.1,0.83585,0.54108,1.05128,0.7648,0.72272,0.74567,0.53073,0.96702,0.77162,1.12408,9.89932e-05,9.89932e-05,9.89932e-05
43,17493.9,0.82779,0.52916,1.04536,0.80619,0.6989,0.73847,0.52665,0.96841,0.7622,1.1297,8.85784e-05,8.85784e-05,8.85784e-05
44,17862.7,0.81735,0.52372,1.03872,0.78858,0.70555,0.74468,0.52716,0.97097,0.76297,1.1296,7.81636e-05,7.81636e-05,7.81636e-05
45,18234.1,0.80686,0.50953,1.03155,0.79512,0.70253,0.73872,0.52238,0.9681,0.76352,1.11966,6.77488e-05,6.77488e-05,6.77488e-05
46,18603.3,0.79656,0.50292,1.02343,0.81152,0.68755,0.74775,0.53144,0.96234,0.75741,1.12286,5.7334e-05,5.7334e-05,5.7334e-05
47,18974.1,0.789,0.49625,1.02123,0.79436,0.70363,0.74737,0.53306,0.96476,0.75824,1.12487,4.69192e-05,4.69192e-05,4.69192e-05
48,19344.6,0.78331,0.4904,1.01535,0.80514,0.69287,0.7438,0.53129,0.96101,0.75991,1.12285,3.65044e-05,3.65044e-05,3.65044e-05
49,19714.4,0.77473,0.48623,1.01297,0.78681,0.71069,0.74455,0.53156,0.96538,0.75831,1.12706,2.60896e-05,2.60896e-05,2.60896e-05
50,20086.3,0.77201,0.4807,1.01508,0.80781,0.69483,0.74705,0.53122,0.9656,0.76101,1.12673,1.56748e-05,1.56748e-05,1.56748e-05
