epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.517,1.3952,2.48647,1.41105,0.39266,0.43392,0.39001,0.23519,1.28378,1.41674,1.30191,0.000175172,0.000175172,0.000175172
2,359.577,1.3811,1.82307,1.40695,0.64692,0.41755,0.45058,0.27823,1.22817,1.42643,1.27897,0.000343565,0.000343565,0.000343565
3,536.222,1.36568,1.59991,1.39773,0.54164,0.4578,0.49317,0.29484,1.29852,1.32237,1.32188,0.000505015,0.000505015,0.000505015
4,751.151,1.34249,1.4707,1.38897,0.53521,0.52319,0.54372,0.3337,1.25428,1.18171,1.27702,0.000494756,0.000494756,0.000494756
5,1073.45,1.31899,1.37411,1.36879,0.60954,0.50352,0.56176,0.36447,1.17965,1.12272,1.24143,0.000484341,0.000484341,0.000484341
6,1398.97,1.27885,1.27696,1.33644,0.68182,0.53432,0.5713,0.36731,1.17517,1.08012,1.23475,0.000473926,0.000473926,0.000473926
7,1724.52,1.2539,1.2306,1.3279,0.77195,0.51162,0.60815,0.40997,1.13824,1.01505,1.21791,0.000463511,0.000463511,0.000463511
8,2051.26,1.23344,1.18319,1.31649,0.69686,0.55281,0.60219,0.38991,1.13996,0.98162,1.22644,0.000453096,0.000453096,0.000453096
9,2370.39,1.21701,1.13565,1.29716,0.71099,0.58974,0.62985,0.41409,1.14175,1.01867,1.2136,0.000442682,0.000442682,0.000442682
10,2695.28,1.20404,1.10518,1.2913,0.74926,0.57347,0.63507,0.42828,1.10219,0.94655,1.19952,0.000432267,0.000432267,0.000432267
11,3021.53,1.18899,1.07745,1.27537,0.73502,0.55406,0.61213,0.41451,1.09074,0.9469,1.18674,0.000421852,0.000421852,0.000421852
12,3349.64,1.16371,1.05109,1.26629,0.62893,0.59796,0.61056,0.40751,1.09399,0.96009,1.17996,0.000411437,0.000411437,0.000411437
13,3674.9,1.15697,1.03338,1.26258,0.67608,0.60391,0.64321,0.44405,1.07615,0.88465,1.18834,0.000401022,0.000401022,0.000401022
14,3991.91,1.14022,1.00377,1.24801,0.67714,0.60466,0.66663,0.44357,1.10764,0.8836,1.18569,0.000390608,0.000390608,0.000390608
15,4239.54,1.13449,0.98268,1.24574,0.69726,0.58146,0.64962,0.4365,1.0708,0.8648,1.17609,0.000380193,0.000380193,0.000380193
16,4417.43,1.11626,0.96639,1.23147,0.72203,0.61648,0.68367,0.46055,1.04768,0.85552,1.16145,0.000369778,0.000369778,0.000369778
17,4610.46,1.11753,0.95304,1.23476,0.68709,0.63749,0.67334,0.45899,1.0582,0.84455,1.16071,0.000359363,0.000359363,0.000359363
18,4823.92,1.09259,0.92522,1.22,0.76044,0.62719,0.67929,0.4626,1.05903,0.86351,1.16629,0.000348948,0.000348948,0.000348948
19,4998.69,1.09412,0.92142,1.21327,0.69281,0.66068,0.68077,0.47086,1.04007,0.89375,1.16475,0.000338534,0.000338534,0.000338534
20,5177.83,1.08002,0.90937,1.21141,0.71864,0.64519,0.69142,0.46486,1.0627,0.84581,1.174,0.000328119,0.000328119,0.000328119
21,5354.6,1.06578,0.88815,1.20097,0.74053,0.65539,0.69518,0.4728,1.04951,0.81407,1.16114,0.000317704,0.000317704,0.000317704
22,5553.49,1.0633,0.87203,1.19626,0.67508,0.6984,0.69848,0.47991,1.03307,0.79986,1.14926,0.000307289,0.000307289,0.000307289
23,5872.19,1.04969,0.85798,1.19011,0.71,0.65644,0.69891,0.48171,1.01652,0.80104,1.13941,0.000296874,0.000296874,0.000296874
24,6189.87,1.04342,0.85789,1.18901,0.71306,0.67049,0.7079,0.48624,1.0208,0.79526,1.15018,0.00028646,0.00028646,0.00028646
25,6508.98,1.03696,0.83669,1.18167,0.70363,0.68753,0.70807,0.4908,0.99719,0.77295,1.12547,0.000276045,0.000276045,0.000276045
26,6826.94,1.02027,0.82191,1.17223,0.7284,0.67937,0.71513,0.49939,1.00916,0.76223,1.14113,0.00026563,0.00026563,0.00026563
27,7020.6,1.01277,0.81385,1.17002,0.79361,0.64109,0.71461,0.49959,1.00359,0.76527,1.13685,0.000255215,0.000255215,0.000255215
28,7263.22,1.00852,0.80503,1.16556,0.73644,0.69024,0.73035,0.51263,1.00538,0.7646,1.14186,0.0002448,0.0002448,0.0002448
29,7580.77,0.99283,0.79164,1.1628,0.74816,0.6755,0.72131,0.50078,0.98158,0.75732,1.11547,0.000234386,0.000234386,0.000234386
30,7895.52,0.98234,0.7859,1.15319,0.78599,0.68466,0.73581,0.51468,0.98479,0.74564,1.11797,0.000223971,0.000223971,0.000223971
31,8213.42,0.97724,0.76906,1.14933,0.73459,0.70271,0.7306,0.514,0.98887,0.74451,1.11661,0.000213556,0.000213556,0.000213556
32,8529.46,0.97908,0.77023,1.14567,0.76456,0.67769,0.72942,0.51218,0.98765,0.73475,1.11948,0.000203141,0.000203141,0.000203141
33,8845.04,0.96949,0.74962,1.13799,0.7928,0.68002,0.73058,0.5079,1.00043,0.74708,1.12423,0.000192726,0.000192726,0.000192726
34,9162.98,0.95384,0.74254,1.13338,0.77087,0.71071,0.73562,0.52348,0.97882,0.71782,1.11782,0.000182312,0.000182312,0.000182312
35,9483.04,0.95646,0.73916,1.13807,0.75505,0.70808,0.73608,0.52283,0.98294,0.71776,1.12461,0.000171897,0.000171897,0.000171897
36,9764.72,0.94953,0.73356,1.12929,0.76979,0.70288,0.74279,0.5238,0.98411,0.72326,1.12921,0.000161482,0.000161482,0.000161482
37,10079.1,0.93623,0.71808,1.12078,0.75805,0.71102,0.74567,0.52967,0.97172,0.72222,1.11403,0.000151067,0.000151067,0.000151067
38,10389.6,0.93147,0.70706,1.11542,0.7847,0.6726,0.7469,0.53602,0.97942,0.71336,1.11734,0.000140652,0.000140652,0.000140652
39,10706.7,0.92157,0.69889,1.1153,0.80957,0.68504,0.74104,0.52844,0.97299,0.71665,1.10832,0.000130238,0.000130238,0.000130238
40,11016.7,0.92038,0.69671,1.11683,0.75309,0.70756,0.74476,0.53255,0.96629,0.71276,1.10931,0.000119823,0.000119823,0.000119823
41,11247.6,0.85311,0.55811,1.06063,0.79033,0.70022,0.7484,0.53198,0.97233,0.71924,1.11467,0.000109408,0.000109408,0.000109408
42,11526.9,0.84071,0.54922,1.05096,0.76345,0.70175,0.74473,0.52654,0.97393,0.70926,1.11208,9.89932e-05,9.89932e-05,9.89932e-05
43,11833.3,0.82478,0.53348,1.04507,0.79916,0.68717,0.74398,0.53294,0.96622,0.70678,1.1063,8.85784e-05,8.85784e-05,8.85784e-05
44,12140.5,0.81468,0.51855,1.03654,0.79274,0.69827,0.74997,0.5395,0.96,0.69647,1.10967,7.81636e-05,7.81636e-05,7.81636e-05
45,12432.1,0.80363,0.51218,1.03125,0.80384,0.69654,0.74972,0.539,0.96815,0.69694,1.11803,6.77488e-05,6.77488e-05,6.77488e-05
46,12694.3,0.79072,0.50416,1.02357,0.82105,0.712,0.7516,0.54024,0.96302,0.68904,1.11108,5.7334e-05,5.7334e-05,5.7334e-05
47,12991.6,0.78555,0.50125,1.02205,0.83029,0.68529,0.75042,0.53696,0.96294,0.69885,1.11178,4.69192e-05,4.69192e-05,4.69192e-05
48,13292.5,0.78167,0.4917,1.01707,0.84901,0.68267,0.759,0.54499,0.95615,0.69016,1.10754,3.65044e-05,3.65044e-05,3.65044e-05
49,13536.5,0.77288,0.48994,1.01295,0.80814,0.70456,0.75776,0.54597,0.95591,0.68947,1.11051,2.60896e-05,2.60896e-05,2.60896e-05
50,13704.1,0.76663,0.4852,1.00754,0.80727,0.70341,0.7566,0.53983,0.9588,0.6889,1.10953,1.56748e-05,1.56748e-05,1.56748e-05
